"filename", "language", "Visual Basic", "XML", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmOption.Designer.vb", "Visual Basic", 698, 0, 0, 0, 0, 188, 5, 891
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmOption.vb", "Visual Basic", 188, 0, 0, 0, 0, 2, 37, 227
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmPictureSelector.Designer.vb", "Visual Basic", 275, 0, 0, 0, 0, 74, 5, 354
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmPictureSelector.vb", "Visual Basic", 389, 0, 0, 0, 0, 0, 27, 416
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmSearch_Object.Designer.vb", "Visual Basic", 232, 0, 0, 0, 0, 59, 5, 296
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmSearch_Object.vb", "Visual Basic", 201, 0, 0, 0, 0, 0, 28, 229
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmSelectComboBox.Designer.vb", "Visual Basic", 63, 0, 0, 0, 0, 17, 5, 85
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmSelectComboBox.vb", "Visual Basic", 37, 0, 0, 0, 0, 0, 14, 51
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmSelectList.Designer.vb", "Visual Basic", 62, 0, 0, 0, 0, 17, 5, 84
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmSelectList.vb", "Visual Basic", 39, 0, 0, 0, 0, 0, 14, 53
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmSelectListBox.Designer.vb", "Visual Basic", 77, 0, 0, 0, 0, 20, 5, 102
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmSelectListBox.vb", "Visual Basic", 53, 0, 0, 0, 0, 12, 0, 65
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmSelectTwoCombobox.Designer.vb", "Visual Basic", 99, 0, 0, 0, 0, 26, 5, 130
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmSelectTwoCombobox.vb", "Visual Basic", 41, 0, 0, 0, 0, 0, 3, 44
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmShapeFile.Designer.vb", "Visual Basic", 381, 0, 0, 0, 0, 107, 5, 493
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmShapeFile.vb", "Visual Basic", 348, 0, 0, 0, 0, 5, 27, 380
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmSmootingLineIn.Designer.vb", "Visual Basic", 174, 0, 0, 0, 0, 47, 5, 226
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmSmootingLineIn.vb", "Visual Basic", 77, 0, 0, 0, 0, 6, 6, 89
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmSyntheticObject.designer.vb", "Visual Basic", 140, 0, 0, 0, 0, 41, 5, 186
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmSyntheticObject.vb", "Visual Basic", 115, 0, 0, 0, 0, 0, 8, 123
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmTileMapServiceSelect.Designer.vb", "Visual Basic", 301, 0, 0, 0, 0, 77, 5, 383
